[2022-12-20 20:26:35,176]:INFO:iter:2, batch_loss==mmLoss:0.2870433747768402,dloss:0.10370071306824684===
[2022-12-20 20:26:43,714]:INFO:iter:3, batch_loss==mmLoss:0.29464817345142363,dloss:0.1051336832344532===
[2022-12-20 20:26:52,359]:INFO:iter:4, batch_loss==mmLoss:0.28518265187740327,dloss:0.09845511242747307===
[2022-12-20 20:27:01,341]:INFO:iter:5, batch_loss==mmLoss:0.30355070531368256,dloss:0.10032720156013966===
[2022-12-20 20:27:10,239]:INFO:iter:6, batch_loss==mmLoss:0.2938897103071213,dloss:0.0931209059432149===
[2022-12-20 20:27:19,520]:INFO:iter:7, batch_loss==mmLoss:0.4331224113702774,dloss:0.10430979086086153===
[2022-12-20 20:27:28,939]:INFO:iter:8, batch_loss==mmLoss:0.4642696887254715,dloss:0.1161895727738738===
[2022-12-20 20:27:37,669]:INFO:iter:9, batch_loss==mmLoss:0.29731120765209196,dloss:0.09663114473223686===
[2022-12-20 20:27:46,612]:INFO:iter:10, batch_loss==mmLoss:0.3677010267972946,dloss:0.11092933602631092===
[2022-12-20 20:27:55,943]:INFO:iter:11, batch_loss==mmLoss:0.3201220691204071,dloss:0.09738812204450369===
[2022-12-20 20:28:05,565]:INFO:iter:12, batch_loss==mmLoss:0.31985847353935243,dloss:0.11514646280556917===
[2022-12-20 20:28:14,675]:INFO:iter:13, batch_loss==mmLoss:0.29561676979064944,dloss:0.11338724866509438===
[2022-12-20 20:28:24,575]:INFO:iter:14, batch_loss==mmLoss:0.21268905997276305,dloss:0.09632414563093335===
[2022-12-20 20:28:33,695]:INFO:iter:15, batch_loss==mmLoss:0.4802980810403824,dloss:0.11053723953664303===
[2022-12-20 20:28:43,057]:INFO:iter:16, batch_loss==mmLoss:0.31823022067546847,dloss:0.10081890765577554===
[2022-12-20 20:28:52,422]:INFO:iter:17, batch_loss==mmLoss:0.2880533069372177,dloss:0.11880643870681525===
[2022-12-20 20:29:02,491]:INFO:iter:18, batch_loss==mmLoss:0.23975657820701599,dloss:0.1154202850535512===
[2022-12-20 20:29:11,398]:INFO:iter:19, batch_loss==mmLoss:0.4068263232707977,dloss:0.1015727810561657===
[2022-12-20 20:29:21,056]:INFO:iter:20, batch_loss==mmLoss:0.22134069502353668,dloss:0.09885112661868334===
[2022-12-20 20:30:01,287]:INFO:iter:20,original:--P:0.09655172413793103,--R:0.37874396135265703,--F:0.15387634936211972
[2022-12-20 20:30:10,249]:INFO:iter:21, batch_loss==mmLoss:0.39020287096500395,dloss:0.09393269717693328===
[2022-12-20 20:30:19,218]:INFO:iter:22, batch_loss==mmLoss:0.14383870363235474,dloss:0.11040357463061809===
[2022-12-20 20:30:28,094]:INFO:iter:23, batch_loss==mmLoss:0.3858410120010376,dloss:0.0927459306200035===
[2022-12-20 20:30:38,594]:INFO:iter:24, batch_loss==mmLoss:0.26027701497077943,dloss:0.11593777909874917===
[2022-12-20 20:30:47,954]:INFO:iter:25, batch_loss==mmLoss:0.24791959822177886,dloss:0.09598841872066259===
[2022-12-20 20:30:57,518]:INFO:iter:26, batch_loss==mmLoss:0.1838681608438492,dloss:0.12077612839639187===
[2022-12-20 20:31:06,435]:INFO:iter:27, batch_loss==mmLoss:0.29185196161270144,dloss:0.10458967592567206===
[2022-12-20 20:31:16,987]:INFO:iter:28, batch_loss==mmLoss:0.1334926187992096,dloss:0.11740804016590119===
[2022-12-20 20:31:25,782]:INFO:iter:29, batch_loss==mmLoss:0.2730752021074295,dloss:0.09763047080487013===
[2022-12-20 20:31:35,773]:INFO:iter:30, batch_loss==mmLoss:0.16612882018089295,dloss:0.10800586268305779===
[2022-12-20 20:31:44,954]:INFO:iter:31, batch_loss==mmLoss:0.45861740708351134,dloss:0.10036858171224594===
[2022-12-20 20:31:54,833]:INFO:iter:32, batch_loss==mmLoss:0.2046782523393631,dloss:0.11402656435966492===
[2022-12-20 20:32:04,937]:INFO:iter:33, batch_loss==mmLoss:0.1496899962425232,dloss:0.09836614597588778===
[2022-12-20 20:32:15,172]:INFO:iter:34, batch_loss==mmLoss:0.1433441758155823,dloss:0.09072594437748194===
[2022-12-20 20:32:23,926]:INFO:iter:35, batch_loss==mmLoss:0.2252867192029953,dloss:0.09465678744018077===
[2022-12-20 20:32:58,949]:INFO:iter:2, batch_loss==mmLoss:1.7732997184793932e-05,dloss:0.10369666256010532===
[2022-12-20 20:33:07,526]:INFO:iter:3, batch_loss==mmLoss:2.117108151651337e-05,dloss:0.10506685264408588===
[2022-12-20 20:33:16,317]:INFO:iter:4, batch_loss==mmLoss:2.0801363098144067e-05,dloss:0.0981743847951293===
[2022-12-20 20:34:13,877]:INFO:iter:5, batch_loss==mmLoss:1.786598477337975e-05,dloss:0.10140100643038749===
[2022-12-20 20:34:22,322]:INFO:iter:6, batch_loss==mmLoss:2.2441461123889894e-05,dloss:0.10227192919701338===
[2022-12-20 20:34:31,640]:INFO:iter:7, batch_loss==mmLoss:2.6233523749397135e-05,dloss:0.1092424999922514===
[2022-12-20 20:34:40,651]:INFO:iter:8, batch_loss==mmLoss:4.3910259773838336e-05,dloss:0.10808547660708427===
[2022-12-20 20:34:49,772]:INFO:iter:9, batch_loss==mmLoss:8.135789762491186e-05,dloss:0.10452767368406057===
[2022-12-20 20:34:58,936]:INFO:iter:10, batch_loss==mmLoss:7.918208307273744e-05,dloss:0.1058977810665965===
[2022-12-20 20:35:07,458]:INFO:iter:11, batch_loss==mmLoss:0.00010377744110883214,dloss:0.0953580904752016===
[2022-12-20 20:35:16,205]:INFO:iter:12, batch_loss==mmLoss:0.00010400663304608316,dloss:0.07934745717793704===
[2022-12-20 20:35:24,995]:INFO:iter:13, batch_loss==mmLoss:8.129291745717637e-05,dloss:0.09719423297792673===
[2022-12-20 20:35:33,707]:INFO:iter:14, batch_loss==mmLoss:0.0001084313642422785,dloss:0.09360336549580098===
[2022-12-20 20:35:43,141]:INFO:iter:15, batch_loss==mmLoss:0.00010898959799305885,dloss:0.08952945359051227===
[2022-12-20 20:35:52,186]:INFO:iter:16, batch_loss==mmLoss:9.974908539334137e-05,dloss:0.07992441548994975===
[2022-12-20 20:36:00,958]:INFO:iter:17, batch_loss==mmLoss:0.00012206017090647947,dloss:0.06717680533183738===
[2022-12-20 20:36:10,252]:INFO:iter:18, batch_loss==mmLoss:8.817628854558279e-05,dloss:0.07196464324370026===
[2022-12-20 20:36:19,331]:INFO:iter:19, batch_loss==mmLoss:9.18833905870997e-05,dloss:0.06966482759453356===
[2022-12-20 20:36:28,237]:INFO:iter:20, batch_loss==mmLoss:0.00010474637520019314,dloss:0.0764587367116603===
[2022-12-20 20:37:08,119]:INFO:iter:20,original:--P:0.06620428751576292,--R:0.30434782608695654,--F:0.10875194199896426
[2022-12-20 20:37:17,812]:INFO:iter:21, batch_loss==mmLoss:0.0001263535076759581,dloss:0.06115759236181475===
[2022-12-20 20:37:26,833]:INFO:iter:22, batch_loss==mmLoss:7.788977518430329e-05,dloss:0.048491514706984165===
[2022-12-20 20:37:35,768]:INFO:iter:23, batch_loss==mmLoss:0.00014535468126268823,dloss:0.056978387851268054===
[2022-12-20 20:37:44,882]:INFO:iter:24, batch_loss==mmLoss:7.634837497789704e-05,dloss:0.051388312510013946===
[2022-12-20 20:37:53,854]:INFO:iter:25, batch_loss==mmLoss:7.071004124554747e-05,dloss:0.036951433308422564===
[2022-12-20 20:38:02,658]:INFO:iter:26, batch_loss==mmLoss:0.00013924331401540257,dloss:0.04544281395501457===
[2022-12-20 20:38:12,003]:INFO:iter:27, batch_loss==mmLoss:7.005526854300114e-05,dloss:0.05128273665904999===
[2022-12-20 20:38:20,712]:INFO:iter:28, batch_loss==mmLoss:8.02993159595644e-05,dloss:0.038429082982716745===
[2022-12-20 20:38:29,807]:INFO:iter:29, batch_loss==mmLoss:0.00012231920040903788,dloss:0.04253494113218039===
[2022-12-20 20:38:39,115]:INFO:iter:30, batch_loss==mmLoss:7.276911294411548e-05,dloss:0.04725572994502727===
[2022-12-20 20:38:48,339]:INFO:iter:31, batch_loss==mmLoss:0.00010300729554728605,dloss:0.038927673893582135===
[2022-12-20 20:38:57,334]:INFO:iter:32, batch_loss==mmLoss:9.986614450099295e-05,dloss:0.043373973423149435===
[2022-12-20 20:39:06,258]:INFO:iter:33, batch_loss==mmLoss:8.902034915081458e-05,dloss:0.03585896234508255===
[2022-12-20 20:39:15,120]:INFO:iter:34, batch_loss==mmLoss:6.982192107898299e-05,dloss:0.036750797042623164===
[2022-12-20 20:39:24,131]:INFO:iter:35, batch_loss==mmLoss:0.0001105109437048668,dloss:0.023111155462902388===
[2022-12-20 20:39:33,192]:INFO:iter:36, batch_loss==mmLoss:7.646359226782806e-05,dloss:0.04023273510683793===
[2022-12-20 20:39:42,213]:INFO:iter:37, batch_loss==mmLoss:7.353683931796696e-05,dloss:0.0330787097264202===
[2022-12-20 20:39:51,046]:INFO:iter:38, batch_loss==mmLoss:7.169820864874054e-05,dloss:0.033687986576114784===
[2022-12-20 20:40:00,577]:INFO:iter:39, batch_loss==mmLoss:8.544561578673892e-05,dloss:0.038806487142574043===
[2022-12-20 20:40:09,367]:INFO:iter:40, batch_loss==mmLoss:0.0001206342985824449,dloss:0.04742034778632052===
[2022-12-20 20:40:46,654]:INFO:iter:40,original:--P:0.053792813616305946,--R:0.24734299516908212,--F:0.08836727649292371
[2022-12-20 20:40:55,759]:INFO:iter:41, batch_loss==mmLoss:0.00012334966031630757,dloss:0.04232242711399899===
[2022-12-20 20:41:04,670]:INFO:iter:42, batch_loss==mmLoss:0.0001509076004367671,dloss:0.04897695491577281===
[2022-12-20 20:41:13,790]:INFO:iter:43, batch_loss==mmLoss:8.890870594768785e-05,dloss:0.03876564316487929===
[2022-12-20 20:41:22,529]:INFO:iter:44, batch_loss==mmLoss:9.099815988520277e-05,dloss:0.04226244974797737===
[2022-12-20 20:41:31,390]:INFO:iter:45, batch_loss==mmLoss:0.0001362305436487077,dloss:0.024579137899854685===
[2022-12-20 20:41:40,696]:INFO:iter:46, batch_loss==mmLoss:5.400324653237476e-05,dloss:0.02470522518851794===
[2022-12-20 20:41:49,652]:INFO:iter:47, batch_loss==mmLoss:9.494329269728041e-05,dloss:0.032882386655311714===
[2022-12-20 20:41:59,129]:INFO:iter:48, batch_loss==mmLoss:9.24234457215789e-05,dloss:0.036654397833626715===
[2022-12-20 20:42:08,283]:INFO:iter:49, batch_loss==mmLoss:7.412458803628397e-05,dloss:0.03102933329033313===
[2022-12-20 20:42:16,838]:INFO:iter:50, batch_loss==mmLoss:5.8602295803211744e-05,dloss:0.03611582486479438===
[2022-12-20 20:42:25,909]:INFO:iter:51, batch_loss==mmLoss:7.754799471513252e-05,dloss:0.05313806767662754===
[2022-12-20 20:42:35,273]:INFO:iter:52, batch_loss==mmLoss:3.260712715018599e-05,dloss:0.047274795826524496===
[2022-12-20 20:42:44,208]:INFO:iter:53, batch_loss==mmLoss:5.843265610110393e-05,dloss:0.04094992387082472===
[2022-12-20 20:42:53,227]:INFO:iter:54, batch_loss==mmLoss:4.4341716056806034e-05,dloss:0.04317216916089923===
[2022-12-20 20:43:02,120]:INFO:iter:55, batch_loss==mmLoss:5.127854242346075e-05,dloss:0.04318469804246945===
[2022-12-20 20:43:11,162]:INFO:iter:56, batch_loss==mmLoss:7.122912049908336e-05,dloss:0.05023467282751035===
[2022-12-20 20:43:19,840]:INFO:iter:57, batch_loss==mmLoss:6.268794400057231e-05,dloss:0.04891274009586368===
[2022-12-20 20:43:28,868]:INFO:iter:58, batch_loss==mmLoss:5.311083248216164e-05,dloss:0.0385432184807888===
[2022-12-20 20:43:38,069]:INFO:iter:59, batch_loss==mmLoss:4.800162096216809e-05,dloss:0.03821977098414209===
[2022-12-20 20:43:47,094]:INFO:iter:60, batch_loss==mmLoss:7.282608016794257e-05,dloss:0.04102802923880518===
[2022-12-20 20:44:25,140]:INFO:iter:60,original:--P:0.05060975609756098,--R:0.24057971014492754,--F:0.0836272040302267
[2022-12-20 20:44:34,280]:INFO:iter:61, batch_loss==mmLoss:7.515671991313866e-05,dloss:0.03921800225289189===
[2022-12-20 20:44:43,341]:INFO:iter:62, batch_loss==mmLoss:5.204724875511602e-05,dloss:0.01939497104066401===
[2022-12-20 20:44:52,493]:INFO:iter:63, batch_loss==mmLoss:5.734821502301202e-05,dloss:0.03875667385291308===
[2022-12-20 20:45:01,758]:INFO:iter:64, batch_loss==mmLoss:5.638769123379461e-05,dloss:0.039860703788690444===
[2022-12-20 20:45:10,739]:INFO:iter:65, batch_loss==mmLoss:7.146913831093115e-05,dloss:0.03560315577778965===
[2022-12-20 20:45:19,965]:INFO:iter:66, batch_loss==mmLoss:3.771344086089812e-05,dloss:0.0364114128373364===
