[2022-12-20 20:05:07,434]:INFO:iter:2, batch_loss==mmLoss:0.0,dloss:0.10369760058820247===
[2022-12-20 20:05:16,105]:INFO:iter:3, batch_loss==mmLoss:0.0,dloss:0.1050553385168314===
[2022-12-20 20:05:24,971]:INFO:iter:4, batch_loss==mmLoss:0.0,dloss:0.09816774278879166===
[2022-12-20 20:06:25,016]:INFO:iter:2, batch_loss==mmLoss:-1.773516557932453e-05,dloss:0.10369547978043556===
[2022-12-20 20:06:33,937]:INFO:iter:3, batch_loss==mmLoss:-2.116923124049208e-05,dloss:0.10506553389132023===
[2022-12-20 20:07:10,815]:INFO:iter:4, batch_loss==mmLoss:-1.776694457475969e-05,dloss:0.102193109318614===
[2022-12-20 20:07:19,611]:INFO:iter:5, batch_loss==mmLoss:-2.1247377935651458e-05,dloss:0.10303087253123522===
[2022-12-20 20:07:28,153]:INFO:iter:6, batch_loss==mmLoss:-2.233061736660602e-05,dloss:0.09637271389365196===
[2022-12-20 20:07:37,123]:INFO:iter:7, batch_loss==mmLoss:-3.002884795932914e-05,dloss:0.10803434215486049===
[2022-12-20 20:07:45,677]:INFO:iter:8, batch_loss==mmLoss:-6.994011637289077e-05,dloss:0.10195335783064366===
[2022-12-20 20:07:54,489]:INFO:iter:9, batch_loss==mmLoss:-7.470915854810301e-05,dloss:0.1008357658982277===
[2022-12-20 20:08:03,203]:INFO:iter:10, batch_loss==mmLoss:-7.205304118542699e-05,dloss:0.10426163859665394===
[2022-12-20 20:08:11,971]:INFO:iter:11, batch_loss==mmLoss:-7.729405429017789e-05,dloss:0.0983408261090517===
[2022-12-20 20:08:21,064]:INFO:iter:12, batch_loss==mmLoss:-7.545176417806942e-05,dloss:0.09071076214313507===
[2022-12-20 20:08:30,009]:INFO:iter:13, batch_loss==mmLoss:-0.00010785991253214888,dloss:0.10017971866764128===
[2022-12-20 20:08:38,776]:INFO:iter:14, batch_loss==mmLoss:-8.483362771585234e-05,dloss:0.08042814829386771===
[2022-12-20 20:08:47,968]:INFO:iter:15, batch_loss==mmLoss:-7.99185297182703e-05,dloss:0.07905323075450496===
[2022-12-20 20:08:57,015]:INFO:iter:16, batch_loss==mmLoss:-5.645921573886881e-05,dloss:0.07023385614156723===
[2022-12-20 20:09:06,284]:INFO:iter:17, batch_loss==mmLoss:-0.00011622479969446431,dloss:0.08561317110434175===
[2022-12-20 20:09:15,263]:INFO:iter:18, batch_loss==mmLoss:-0.0001331802075583255,dloss:0.07166419737040997===
[2022-12-20 20:09:24,145]:INFO:iter:19, batch_loss==mmLoss:-0.0001474991689519811,dloss:0.08251076880842448===
[2022-12-20 20:09:32,690]:INFO:iter:20, batch_loss==mmLoss:-0.00010114331334989401,dloss:0.07012584395706653===
[2022-12-20 20:10:14,102]:INFO:iter:20,original:--P:0.06484848484848485,--R:0.3101449275362319,--F:0.10726817042606517
[2022-12-20 20:10:23,290]:INFO:iter:21, batch_loss==mmLoss:-0.00010104897592100315,dloss:0.06290266499854624===
[2022-12-20 20:10:32,602]:INFO:iter:22, batch_loss==mmLoss:-0.00010842308674909872,dloss:0.07023036172613502===
[2022-12-20 20:10:41,785]:INFO:iter:23, batch_loss==mmLoss:-6.411902386389556e-05,dloss:0.054549023474100976===
[2022-12-20 20:10:50,746]:INFO:iter:24, batch_loss==mmLoss:-8.445322678198863e-05,dloss:0.05402871581607087===
[2022-12-20 20:10:59,394]:INFO:iter:25, batch_loss==mmLoss:-0.00010563619143795222,dloss:0.03585122214638923===
[2022-12-20 20:11:08,566]:INFO:iter:26, batch_loss==mmLoss:-6.157666591661836e-05,dloss:0.03918934394314224===
[2022-12-20 20:11:17,858]:INFO:iter:27, batch_loss==mmLoss:-3.875272393543128e-05,dloss:0.03773061188403517===
[2022-12-20 20:11:26,775]:INFO:iter:28, batch_loss==mmLoss:-8.15925150163821e-05,dloss:0.05392789602394714===
[2022-12-20 20:11:35,633]:INFO:iter:29, batch_loss==mmLoss:-7.911864868219709e-05,dloss:0.03210916960536405===
[2022-12-20 20:11:44,658]:INFO:iter:30, batch_loss==mmLoss:-9.297270444221794e-05,dloss:0.04448175638503993===
[2022-12-20 20:11:53,951]:INFO:iter:31, batch_loss==mmLoss:-8.721250451344531e-05,dloss:0.04518304170487682===
[2022-12-20 20:12:02,541]:INFO:iter:32, batch_loss==mmLoss:-9.539582165416505e-05,dloss:0.028517727524922522===
[2022-12-20 20:12:11,812]:INFO:iter:33, batch_loss==mmLoss:-6.133604833848949e-05,dloss:0.03858138173313961===
[2022-12-20 20:12:20,843]:INFO:iter:34, batch_loss==mmLoss:-0.0001112110657231824,dloss:0.04021893425961025===
[2022-12-20 20:12:29,702]:INFO:iter:35, batch_loss==mmLoss:-9.68485945577413e-05,dloss:0.03440447584554818===
[2022-12-20 20:12:38,688]:INFO:iter:36, batch_loss==mmLoss:-8.300444828819309e-05,dloss:0.033981764272109416===
[2022-12-20 20:12:47,684]:INFO:iter:37, batch_loss==mmLoss:-0.00011668251559058263,dloss:0.03465832142455838===
[2022-12-20 20:12:56,460]:INFO:iter:38, batch_loss==mmLoss:-8.763911700953031e-05,dloss:0.04132520774442128===
[2022-12-20 20:13:05,427]:INFO:iter:39, batch_loss==mmLoss:-0.00013635359946420066,dloss:0.03518521092191804===
[2022-12-20 20:13:14,464]:INFO:iter:40, batch_loss==mmLoss:-6.227739049791126e-05,dloss:0.03446375082040483===
[2022-12-20 20:13:51,972]:INFO:iter:40,original:--P:0.05112781954887218,--R:0.22995169082125605,--F:0.08365553602811951
[2022-12-20 20:14:01,111]:INFO:iter:41, batch_loss==mmLoss:-0.0001131839813751867,dloss:0.042586884807678874===
[2022-12-20 20:14:09,858]:INFO:iter:42, batch_loss==mmLoss:-9.595091601113381e-05,dloss:0.019087411049954907===
[2022-12-20 20:14:19,096]:INFO:iter:43, batch_loss==mmLoss:-9.383672395415487e-05,dloss:0.04061725527863018===
[2022-12-20 20:14:28,226]:INFO:iter:44, batch_loss==mmLoss:-8.377464600926033e-05,dloss:0.04158650456568012===
[2022-12-20 20:14:37,402]:INFO:iter:45, batch_loss==mmLoss:-0.00012276966390345478,dloss:0.036083355873000045===
[2022-12-20 20:14:46,346]:INFO:iter:46, batch_loss==mmLoss:-0.00010001128803196479,dloss:0.038392085587838666===
[2022-12-20 20:14:55,340]:INFO:iter:47, batch_loss==mmLoss:-0.00012284122567507438,dloss:0.027549267387075815===
[2022-12-20 20:15:04,853]:INFO:iter:48, batch_loss==mmLoss:-0.00010060727881864296,dloss:0.04037360348884249===
[2022-12-20 20:15:13,386]:INFO:iter:49, batch_loss==mmLoss:-0.00010863790648727445,dloss:0.031536583611804045===
[2022-12-20 20:15:22,636]:INFO:iter:50, batch_loss==mmLoss:-6.139243030247598e-05,dloss:0.04978651633823748===
[2022-12-20 20:15:31,668]:INFO:iter:51, batch_loss==mmLoss:-5.647132529702503e-05,dloss:0.04395191072080209===
[2022-12-20 20:15:40,288]:INFO:iter:52, batch_loss==mmLoss:-6.30942526186118e-05,dloss:0.049092003714701224===
[2022-12-20 20:15:49,618]:INFO:iter:53, batch_loss==mmLoss:-5.56408370130157e-05,dloss:0.032429987693143404===
[2022-12-20 20:15:58,847]:INFO:iter:54, batch_loss==mmLoss:-6.916998700035037e-05,dloss:0.04687629872787511===
[2022-12-20 20:16:07,644]:INFO:iter:55, batch_loss==mmLoss:-4.1435279808865746e-05,dloss:0.025724751031096272===
[2022-12-20 20:16:16,984]:INFO:iter:56, batch_loss==mmLoss:-4.911626369903388e-05,dloss:0.04108236884159304===
[2022-12-20 20:16:26,082]:INFO:iter:57, batch_loss==mmLoss:-5.913010395488527e-05,dloss:0.02983489899528934===
