[2022-12-19 22:34:12,769]:INFO:iter:2, batch_loss==mmLoss:0.2870447516441345,dloss:0.10358849987387657===
[2022-12-19 22:34:20,904]:INFO:iter:3, batch_loss==mmLoss:0.29843624234199523,dloss:0.10530218966305256===
[2022-12-19 22:34:29,150]:INFO:iter:4, batch_loss==mmLoss:0.3003929197788239,dloss:0.09933021664619446===
[2022-12-19 22:34:37,545]:INFO:iter:5, batch_loss==mmLoss:0.33799256980419157,dloss:0.10100659541785717===
[2022-12-19 22:34:45,914]:INFO:iter:6, batch_loss==mmLoss:0.30092150568962095,dloss:0.09459409769624472===
[2022-12-19 22:34:54,252]:INFO:iter:7, batch_loss==mmLoss:0.30213706791400907,dloss:0.10069616213440895===
[2022-12-19 22:35:02,559]:INFO:iter:8, batch_loss==mmLoss:0.40180477797985076,dloss:0.11077619828283787===
[2022-12-19 22:35:11,356]:INFO:iter:9, batch_loss==mmLoss:0.3580489903688431,dloss:0.10580513365566731===
[2022-12-19 22:35:19,841]:INFO:iter:10, batch_loss==mmLoss:0.4063470482826233,dloss:0.11466497033834458===
[2022-12-19 22:35:28,351]:INFO:iter:11, batch_loss==mmLoss:0.3297815233469009,dloss:0.0975397277623415===
[2022-12-19 22:35:36,942]:INFO:iter:12, batch_loss==mmLoss:0.45025455057621,dloss:0.11392168272286654===
[2022-12-19 22:35:45,613]:INFO:iter:13, batch_loss==mmLoss:0.3258075326681137,dloss:0.10705974898301066===
[2022-12-19 22:35:54,334]:INFO:iter:14, batch_loss==mmLoss:0.3560200840234756,dloss:0.10330766993574798===
[2022-12-19 22:36:02,891]:INFO:iter:15, batch_loss==mmLoss:0.35717363059520724,dloss:0.11595173887908458===
[2022-12-19 22:36:11,499]:INFO:iter:16, batch_loss==mmLoss:0.33635939955711364,dloss:0.1104830140247941===
[2022-12-19 22:36:19,931]:INFO:iter:17, batch_loss==mmLoss:0.3253677189350128,dloss:0.10803623963147402===
[2022-12-19 22:36:28,462]:INFO:iter:18, batch_loss==mmLoss:0.3161329686641693,dloss:0.10178642179816962===
[2022-12-19 22:36:36,819]:INFO:iter:19, batch_loss==mmLoss:0.28500511646270754,dloss:0.09680692087858915===
[2022-12-19 22:36:45,130]:INFO:iter:20, batch_loss==mmLoss:0.40541209280490875,dloss:0.11883733943104743===
[2022-12-19 22:37:22,897]:INFO:iter:20,original:--P:0.09682151589242054,--R:0.3826086956521739,--F:0.15453658536585366
[2022-12-19 22:37:31,616]:INFO:iter:21, batch_loss==mmLoss:0.2505610466003418,dloss:0.09780513495206833===
[2022-12-19 22:37:39,786]:INFO:iter:22, batch_loss==mmLoss:0.3313960343599319,dloss:0.10520601384341717===
[2022-12-19 22:37:47,860]:INFO:iter:23, batch_loss==mmLoss:0.36134952008724214,dloss:0.11569069381803274===
[2022-12-19 22:37:56,468]:INFO:iter:24, batch_loss==mmLoss:0.3271233141422272,dloss:0.10472469795495272===
[2022-12-19 22:38:05,143]:INFO:iter:25, batch_loss==mmLoss:0.36375615894794466,dloss:0.11428975854068994===
[2022-12-19 22:38:14,103]:INFO:iter:26, batch_loss==mmLoss:0.3315046221017838,dloss:0.10525856893509626===
[2022-12-19 22:38:22,459]:INFO:iter:27, batch_loss==mmLoss:0.3367982149124146,dloss:0.10725350119173527===
[2022-12-19 22:38:31,188]:INFO:iter:28, batch_loss==mmLoss:0.34622534215450285,dloss:0.10666399542242289===
[2022-12-19 22:38:39,307]:INFO:iter:29, batch_loss==mmLoss:0.33347415626049043,dloss:0.11370039749890566===
[2022-12-19 22:42:32,291]:INFO:iter:2, batch_loss==mmLoss:0.0,dloss:0.10358846634626388===
